fecha,mesReporte,anioReporte,tipoRegistro,monto
25-02-2023,2,2023,Egreso,-3634.59
01-10-2023,10,2023,Ingreso,2252.82
08-12-2023,12,2023,Egreso,-4760.95
09-09-2023,9,2023,Egreso,-2889.68
11-10-2023,10,2023,Ingreso,2416.12
04-11-2023,11,2023,Egreso,-4186.78
13-08-2023,8,2023,Egreso,-2597.68
25-11-2023,11,2023,Egreso,-3193.72
20-09-2023,9,2023,Ingreso,2160.96
29-11-2023,11,2023,Egreso,-4030.64
9-11-2023,11,2023,Egreso,-3000.0
01-10-2023,10,2023,Ingreso,3039.84
29-12-2023,12,2023,Egreso,-4092.04
29-12-2023,12,2023,Egreso,-2142.88
29-09-2023,9,2023,Ingreso,2168.37
09-09-2023,9,2023,Ingreso,4256.15
20-09-2023,9,2023,Egreso,-2536.18
14-02-2023,2,2023,Ingreso,1884.52
05-06-2023,6,2023,Egreso,-4094.27
29-12-2023,12,2023,Ingreso,1123.44
09-08-2023,8,2023,Egreso,-2421.43
04-07-2023,7,2023,Ingreso,3399.53
13-07-2023,7,2023,Egreso,-1908.92
01-12-2023,12,2023,Ingreso,3973.39
05-06-2023,6,2023,Ingreso,3268.17
8-11-2023,11,2023,Ingreso,4500.0
05-06-2023,6,2023,Egreso,-4992.52
07-08-2023,8,2023,Ingreso,2158.05
12-03-2023,3,2023,Ingreso,1635.75
04-11-2023,11,2023,Ingreso,2056.87
02-09-2023,9,2023,Ingreso,1430.96
14-01-2023,1,2023,Ingreso,1825.41
